"Title","Default language","Default text","en-US text","Variant status","Placeholder"
"Quick Links","English","Quick Links","Quick Links","Active","dc.quick_links"
"Resources","English","Resources","Resources","Active","dc.resources"
"Related Sites","English","Related Sites","Related Sites","Active","dc.related_sites"
"Getting Started","English","Getting Started","Getting Started","Active","dc.getting_started"
"No Section in Category","English","No Section in Category","No Section in Category","Active","dc.no_section_in_category"
"Footer_All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.all_rights_reserved"
"Still Need Help","English","Still Need Help?","Still Need Help?","Active","dc.still_need_help"
"No Articles in Section","English","No Articles in Section","No Articles in Section","Active","dc.no_articles_in_section"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","Sorry! We searched far into outer space, but couldn't find","Active","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Avatar","English","Avatar","Avatar","Active","dc.avatar"
"View All","English","View All","View All","Active","dc.view_all"
"How Can We Help","English","How can we help?","How can we help?","Active","dc.how_can_we_help"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","Administering Liferay Analytics Cloud","Active","dc.administering_liferay_analytics_cloud"
"Let us know if you cant find a solution to your issue","English","Let us know if you can't find a solution to your issue.","Let us know if you can't find a solution to your issue.","Active","dc.let_us_know_if_you_cant_find_a_solution_to_your_issue"
"Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.analytics_cloud"
"Submit a Ticket","English","Submit a Ticket","Submit a Ticket","Active","dc.submit_a_ticket"
"Products","English","Products","Products","Active","dc.products"
"Support","English","Support","Support","Active","dc.support"
"Project Details","English","Project Details","Project Details","Active","dc.project_details"
"Help Center","English","Help Center","Help Center","Active","dc.help_center"
"Security","English","Security","Security","Active","dc.security"
"Commerce","English","Commerce","Commerce","Active","dc.commerce"
"Portal","English","Portal","Portal","Active","dc.portal"
"Contact Us","English","Contact Us","Contact Us","Active","dc.contact_us"
"Subject Ticket Field - Title","English","Subject","Subject","Active","dc.subject_ticket_field_-_title"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","We are sorry, but you do not have access to submit a support ticket.","Active","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
"Browse by Product","English","Browse by Product","Browse by Product","Active","dc.browse_by_product"
"DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.dxp_cloud"
"Development Guide","English","Development Guide","Development Guide","Active","dc.development_guide"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","Analytics Cloud Documentation","Active","dc.analytics_cloud_documentation"
"Support Information","English","Support Information","Support Information","Active","dc.support_information"
"Admin Guide","English","Admin Guide","Admin Guide","Active","dc.admin_guide"
"Knowledge Base","English","Knowledge Base","Knowledge Base","Active","dc.knowledge_base"
"Known Issues","English","Known Issues","Known Issues","Active","dc.known_issues"
"Mega Menu_Announcements","English","Announcements","Announcements","Active","dc.mega_menu_announcements"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","Liferay Digital Experience Platform 7.1","Active","dc.7_1_page_heading"
"Mega Menu::Products","English","Products","Products","Active","dc.mega_menu-products"
"Mega Menu::DXP 7.1","English","DXP 7.1","DXP 7.1","Active","dc.mega_menu-dxp_7_1"
"Mega Menu::DXP 7.0","English","DXP 7.0","DXP 7.0","Active","dc.mega_menu-dxp_7_0"
"Mega Menu::Commerce","English","Commerce","Commerce","Active","dc.mega_menu-commerce"
"Mega Menu::Portal 6.2","English","Portal 6.2","Portal 6.2","Active","dc.mega_menu-portal_6_2"
"Mega Menu::Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.mega_menu-analytics_cloud"
"Mega Menu::DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.mega_menu-dxp_cloud"
"Mega Menu::Downloads Description","English","Products, service packs, fix packs, and security fixes","Products, service packs, fix packs, and security fixes","Active","dc.mega_menu-downloads_description"
"Mega Menu::Fix Pack Tool","English","Fix Pack Tool","Fix Pack Tool","Active","dc.mega_menu-fix_pack_tool"
"Mega Menu::Documentation Description","English","Product guides, tutorials, and reference docs","Product guides, tutorials, and reference docs","Active","dc.mega_menu-documentation_description"
"Mega Menu::Portal 6.1","English","Portal 6.1","Portal 6.1","Active","dc.mega_menu-portal_6_1"
"Mega Menu::Portal 6.0","English","Portal 6.0","Portal 6.0","Active","dc.mega_menu-portal_6_0"
"Mega Menu::Resources","English","Resources","Resources","Active","dc.mega_menu-resources"
"Mega Menu::Downloads","English","Downloads","Downloads","Active","dc.mega_menu-downloads"
